id;titulo;modo;data_inicio;data_fim;tempo_limite;status
1;outside curl;COLETIVO;2026-06-23T03:01:35;2026-06-23T07:11:07;4143;EM_ANDAMENTO
2;besides whenever minister;INDIVIDUAL;2026-06-23T07:25:20;2026-06-23T11:46:57;4545;ENCERRADA
3;psst brush;INDIVIDUAL;2026-06-23T20:20:25;2026-06-23T17:00:51;9962;EM_ANDAMENTO
4;masticate;COLETIVO;2026-06-23T12:26:06;2026-06-22T22:23:41;14589;PENDENTE
5;in trim;INDIVIDUAL;2026-06-22T23:53:58;2026-06-23T11:09:34;26827;EM_ANDAMENTO
6;censor despite arraign;INDIVIDUAL;2026-06-23T06:34:22;2026-06-23T17:55:00;2212;PENDENTE
7;pish reboot bashfully;INDIVIDUAL;2026-06-23T05:02:08;2026-06-23T12:49:13;14167;PENDENTE
8;next yowza energetically;COLETIVO;2026-06-22T23:35:40;2026-06-23T12:46:46;153;PENDENTE
9;stunt unlike tense;COLETIVO;2026-06-23T01:07:48;2026-06-23T18:16:27;12174;ENCERRADA
10;shyly bowling;INDIVIDUAL;2026-06-23T22:05:12;2026-06-23T00:33:15;8060;EM_ANDAMENTO
