id;nome;descricao;xp_recompensa
1;yet;../fake-data/blob/hipster.txt;19129
2;chip while consequently;../fake-data/blob/hipster.txt;6781
3;yippee lest;../fake-data/blob/hipster.txt;579
4;collaborate interesting how;../fake-data/blob/hipster.txt;30966
5;gee;../fake-data/blob/hipster.txt;16453
6;whoa disconnection outfit;../fake-data/blob/hipster.txt;31197
7;since;../fake-data/blob/hipster.txt;7004
8;unfortunate consequently;../fake-data/blob/hipster.txt;15233
9;voluntarily;../fake-data/blob/hipster.txt;11900
10;aw;../fake-data/blob/hipster.txt;13363
