id;nome_lista;descricao;ativo
1;gadzooks qua;../fake-data/blob/hipster.txt;true
2;yum emotional monocle;../fake-data/blob/hipster.txt;false
3;quantify schlep treasure;../fake-data/blob/hipster.txt;false
4;brood wonderfully permafrost;../fake-data/blob/hipster.txt;true
5;scar;../fake-data/blob/hipster.txt;false
6;kindheartedly nightlife;../fake-data/blob/hipster.txt;false
7;pro every trial;../fake-data/blob/hipster.txt;false
8;yawn forenenst;../fake-data/blob/hipster.txt;false
9;toe fooey hover;../fake-data/blob/hipster.txt;false
10;filter topsail;../fake-data/blob/hipster.txt;false
