id;texto;dificuldade;categoria;idioma;possui_acento;ativa
1;obedient oof;FACIL;and yet;whispered cop;true;false
2;until fumigate;DIFICIL;alongside bolster ack;huzzah supposing;false;false
3;reckon hungrily until;FACIL;understanding;cram;false;true
4;supposing ultimately;MEDIO;vice likewise;qualified refer by;false;false
5;till oof;DIFICIL;incidentally hm shinny;upwardly;false;true
6;hm obedient;FACIL;with eke;lest cricket toward;false;false
7;doting;MEDIO;overreact hence;refer;false;false
8;swiftly sans vice;FACIL;even phew;seemingly highly notwithstanding;false;false
9;sans;MEDIO;afraid apropos mortally;yet;false;false
10;cycle mundane;MEDIO;unimpressively fortunately form;regarding;true;true
