id;resposta_digitada;correta;tempo_resposta;pontuacao;data_resposta
1;fork;false;9832;20073;2026-06-23T04:34:42
2;handy why of;true;24172;19670;2026-06-23T06:23:49
3;whose;false;28284;22049;2026-06-23T17:22:46
4;plus ick motivate;false;15783;20974;2026-06-22T22:20:24
5;yahoo railway;false;16989;11016;2026-06-23T08:10:41
6;yet oof besmirch;false;30168;8756;2026-06-23T13:39:11
7;ouch;false;11307;31452;2026-06-23T09:42:02
8;where;true;14686;9508;2026-06-23T01:43:15
9;despite that;false;4505;4191;2026-06-23T04:16:40
10;liquid how develop;false;7165;4668;2026-06-23T20:35:19
