id;nome;codigo;descricao;ativo
1;alliance;oh hmph bah;../fake-data/blob/hipster.txt;false
2;drat till;factorise hornet collectivization;../fake-data/blob/hipster.txt;false
3;rusty gadzooks;generally that beyond;../fake-data/blob/hipster.txt;true
4;regularly now;blend degrease times;../fake-data/blob/hipster.txt;true
5;redress;gee mmm;../fake-data/blob/hipster.txt;true
6;zowie hmph;handsome aircraft;../fake-data/blob/hipster.txt;true
7;aw until;zowie judgementally;../fake-data/blob/hipster.txt;true
8;up;close opposite until;../fake-data/blob/hipster.txt;true
9;oh;lost gadzooks;../fake-data/blob/hipster.txt;false
10;until spice;while commodity;../fake-data/blob/hipster.txt;false
